52.033689,-0.765503,-0.566562
52.033690,-0.765503,-0.569358
52.033690,-0.765504,-0.572247
52.033691,-0.765504,-0.575373
52.033691,-0.765505,-0.578259
52.033692,-0.765505,-0.581171
52.033692,-0.765506,-0.583903
52.033693,-0.765506,-0.586475
52.033693,-0.765507,-0.589256
52.033694,-0.765507,-0.592093
52.033694,-0.765508,-0.594820
52.033695,-0.765509,-0.597047
52.033695,-0.765509,-0.599218
52.033696,-0.765510,-0.601093
52.033696,-0.765510,-0.602807
52.033697,-0.765511,-0.604271
52.033697,-0.765511,-0.605616
52.033698,-0.765512,-0.606795
52.033698,-0.765512,-0.607775
52.033699,-0.765513,-0.608644
52.033699,-0.765513,-0.609479
52.033700,-0.765514,-0.610306
52.033700,-0.765515,-0.611229
52.033701,-0.765515,-0.612200
52.033701,-0.765516,-0.613264
52.033702,-0.765516,-0.614291
52.033702,-0.765517,-0.615112
52.033703,-0.765517,-0.616139
52.033703,-0.765518,-0.617079
52.033704,-0.765519,-0.618110
52.033704,-0.765519,-0.618912
52.033705,-0.765520,-0.619796
52.033705,-0.765520,-0.620626
52.033706,-0.765521,-0.621645
52.033706,-0.765521,-0.622600
52.033707,-0.765522,-0.623742
52.033707,-0.765522,-0.624643
52.033707,-0.765523,-0.625428
52.033708,-0.765524,-0.625979
52.033708,-0.765524,-0.626442
52.033709,-0.765525,-0.626628
52.033709,-0.765525,-0.626745
52.033710,-0.765526,-0.626930
52.033710,-0.765527,-0.627156
52.033711,-0.765527,-0.627499
52.033711,-0.765528,-0.627922
52.033712,-0.765528,-0.628175
52.033712,-0.765529,-0.628176
52.033713,-0.765529,-0.627944
52.033713,-0.765530,-0.627711
52.033714,-0.765531,-0.627562
52.033714,-0.765531,-0.627582
52.033715,-0.765532,-0.627687
52.033715,-0.765532,-0.627833
52.033716,-0.765533,-0.627901
52.033716,-0.765533,-0.627786
52.033717,-0.765534,-0.627453
52.033717,-0.765535,-0.626941
52.033718,-0.765535,-0.626399
52.033718,-0.765536,-0.626090
52.033719,-0.765537,-0.625999
52.033719,-0.765537,-0.626046
52.033720,-0.765538,-0.625972
52.033720,-0.765538,-0.625818
52.033721,-0.765539,-0.625677
52.033721,-0.765540,-0.625398
52.033722,-0.765540,-0.625165
52.033722,-0.765541,-0.624970
52.033723,-0.765541,-0.624923
52.033723,-0.765542,-0.624823
52.033724,-0.765542,-0.624948
52.033724,-0.765543,-0.624960
52.033725,-0.765544,-0.624745
52.033725,-0.765544,-0.624374
52.033726,-0.765545,-0.623930
52.033726,-0.765545,-0.623712
52.033727,-0.765546,-0.623576
52.033727,-0.765546,-0.623406
52.033728,-0.765547,-0.623055
52.033728,-0.765548,-0.622466
